Tenure in Months,Monthly Charge,Contract,Paperless Billing,Payment Method,Unlimited Data,Avg Monthly GB Download,Number of Referrals
60,94.1,Month-to-Month,Yes,Credit Card,Yes,19.0,8
12,19.35,Two Year,No,Bank Withdrawal,,22.0,0
2,80.45,Month-to-Month,Yes,Bank Withdrawal,Yes,25.0,0
33,74.75,One Year,No,Credit Card,Yes,30.0,7
14,86.0,Month-to-Month,Yes,Mailed Check,Yes,22.0,0
72,109.5,Two Year,Yes,Credit Card,Yes,19.0,3
30,50.0,Month-to-Month,Yes,Credit Card,Yes,6.0,10
5,19.25,Month-to-Month,Yes,Credit Card,,22.0,0
69,56.55,Two Year,No,Credit Card,No,12.0,10
58,86.1,Two Year,Yes,Bank Withdrawal,No,2.0,3
21,26.05,Month-to-Month,Yes,Bank Withdrawal,Yes,59.0,1
21,53.15,Two Year,No,Credit Card,Yes,11.0,0
53,19.85,One Year,Yes,Bank Withdrawal,,22.0,6
72,19.3,Two Year,No,Bank Withdrawal,,22.0,0
54,105.85,One Year,Yes,Bank Withdrawal,No,11.0,0
20,108.2,Month-to-Month,Yes,Bank Withdrawal,Yes,18.0,0
60,20.55,Two Year,No,Credit Card,,22.0,4
25,19.15,Month-to-Month,Yes,Credit Card,,22.0,5
54,45.2,Two Year,No,Credit Card,Yes,10.0,0
15,18.8,One Year,No,Credit Card,,22.0,5
21,20.85,Two Year,Yes,Credit Card,,22.0,0
10,49.55,One Year,No,Credit Card,Yes,7.0,6
37,61.45,Two Year,No,Credit Card,No,27.0,0
59,79.2,Two Year,Yes,Credit Card,Yes,2.0,0
62,20.3,Two Year,No,Bank Withdrawal,,22.0,1
35,55.0,Month-to-Month,No,Credit Card,Yes,14.0,0
1,25.7,Month-to-Month,Yes,Mailed Check,Yes,9.0,0
13,95.25,Month-to-Month,Yes,Bank Withdrawal,Yes,6.0,1
1,19.75,Month-to-Month,No,Bank Withdrawal,,21.0,0
23,90.05,Month-to-Month,Yes,Bank Withdrawal,Yes,4.0,0
60,93.25,One Year,Yes,Bank Withdrawal,Yes,53.0,4
1,35.25,Month-to-Month,Yes,Bank Withdrawal,Yes,9.0,0
3,56.15,Month-to-Month,Yes,Mailed Check,Yes,52.0,1
63,19.15,Two Year,Yes,Mailed Check,,22.0,2
11,-10.0,Month-to-Month,Yes,Bank Withdrawal,Yes,15.0,6
1,-4.0,Month-to-Month,Yes,Bank Withdrawal,Yes,29.0,4
6,19.45,One Year,No,Credit Card,,22.0,10
13,44.0,Month-to-Month,No,Credit Card,Yes,27.0,0
51,96.4,One Year,Yes,Credit Card,Yes,8.0,7
27,48.7,One Year,No,Credit Card,Yes,5.0,10
11,35.8,Month-to-Month,Yes,Credit Card,Yes,52.0,0
37,72.1,One Year,No,Credit Card,Yes,23.0,4
9,20.25,Month-to-Month,No,Credit Card,,22.0,0
26,89.15,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,0
66,107.35,One Year,Yes,Bank Withdrawal,Yes,26.0,7
1,74.4,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,0
45,50.25,Month-to-Month,Yes,Credit Card,Yes,22.0,6
8,43.45,One Year,Yes,Credit Card,Yes,24.0,1
2,69.6,Month-to-Month,Yes,Bank Withdrawal,Yes,21.0,0
10,18.85,Month-to-Month,No,Credit Card,,22.0,0
14,-8.0,One Year,No,Credit Card,No,26.0,0
64,100.05,One Year,Yes,Credit Card,Yes,18.0,0
72,75.1,Two Year,Yes,Bank Withdrawal,Yes,22.0,0
52,49.15,Month-to-Month,Yes,Bank Withdrawal,No,18.0,0
34,97.7,Month-to-Month,Yes,Bank Withdrawal,Yes,52.0,9
3,46.1,Month-to-Month,Yes,Mailed Check,Yes,7.0,2
4,25.25,Month-to-Month,No,Credit Card,,22.0,0
40,102.65,Month-to-Month,Yes,Credit Card,Yes,29.0,0
49,95.6,Month-to-Month,Yes,Bank Withdrawal,Yes,9.0,2
3,45.45,Month-to-Month,No,Credit Card,Yes,17.0,0
47,106.4,Month-to-Month,Yes,Bank Withdrawal,No,25.0,0
67,88.8,One Year,Yes,Bank Withdrawal,Yes,59.0,0
10,70.3,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,1
50,109.65,Two Year,Yes,Bank Withdrawal,Yes,28.0,0
16,86.6,Month-to-Month,Yes,Bank Withdrawal,Yes,22.0,0
61,69.9,Two Year,Yes,Credit Card,Yes,4.0,1
59,24.45,Two Year,No,Bank Withdrawal,,22.0,0
25,100.25,Month-to-Month,Yes,Bank Withdrawal,Yes,3.0,0
50,101.9,One Year,Yes,Bank Withdrawal,Yes,17.0,9
1,47.95,Month-to-Month,No,Bank Withdrawal,Yes,25.0,0
66,19.75,Two Year,Yes,Credit Card,,22.0,7
59,93.85,Month-to-Month,Yes,Bank Withdrawal,Yes,15.0,0
3,19.1,Month-to-Month,Yes,Credit Card,,21.0,0
40,25.25,Two Year,No,Credit Card,,22.0,9
50,20.15,Two Year,No,Bank Withdrawal,,22.0,5
10,98.9,One Year,Yes,Bank Withdrawal,Yes,26.0,0
1,71.15,Month-to-Month,Yes,Bank Withdrawal,No,22.0,0
6,80.5,Month-to-Month,Yes,Bank Withdrawal,Yes,23.0,1
2,91.45,Month-to-Month,Yes,Bank Withdrawal,No,20.0,0
13,54.15,One Year,No,Bank Withdrawal,Yes,12.0,5
67,94.65,Two Year,Yes,Credit Card,Yes,23.0,4
32,62.45,Month-to-Month,No,Bank Withdrawal,Yes,51.0,9
35,56.85,Month-to-Month,No,Bank Withdrawal,Yes,69.0,7
3,20.7,Month-to-Month,No,Credit Card,,21.0,0
45,20.0,Two Year,Yes,Bank Withdrawal,,22.0,9
29,58.0,One Year,No,Credit Card,Yes,25.0,0
55,-2.0,One Year,Yes,Bank Withdrawal,Yes,3.0,0
1,85.0,Month-to-Month,Yes,Bank Withdrawal,Yes,2.0,0
28,105.8,Month-to-Month,Yes,Bank Withdrawal,Yes,15.0,8
64,53.85,One Year,Yes,Bank Withdrawal,Yes,25.0,10
64,58.35,One Year,No,Bank Withdrawal,Yes,52.0,1
17,94.4,Month-to-Month,No,Bank Withdrawal,Yes,12.0,1
30,100.05,Month-to-Month,Yes,Bank Withdrawal,Yes,22.0,1
26,19.15,Two Year,Yes,Credit Card,,22.0,9
42,67.7,One Year,Yes,Credit Card,Yes,20.0,0
71,83.2,Two Year,No,Bank Withdrawal,Yes,12.0,6
15,83.2,Month-to-Month,Yes,Bank Withdrawal,Yes,29.0,0
61,99.0,One Year,No,Bank Withdrawal,Yes,22.0,10
26,81.95,Month-to-Month,No,Bank Withdrawal,Yes,27.0,10
15,20.35,One Year,No,Credit Card,,22.0,10
41,86.2,One Year,Yes,Bank Withdrawal,Yes,16.0,3
25,79.85,Month-to-Month,Yes,Bank Withdrawal,Yes,12.0,0
15,49.0,Month-to-Month,Yes,Bank Withdrawal,Yes,28.0,0
62,43.7,Two Year,Yes,Bank Withdrawal,Yes,51.0,0
1,20.1,Month-to-Month,Yes,Mailed Check,,20.0,0
44,70.95,One Year,Yes,Bank Withdrawal,Yes,48.0,1
30,104.1,Two Year,Yes,Bank Withdrawal,Yes,21.0,0
29,19.35,Month-to-Month,No,Credit Card,,22.0,0
39,40.6,Month-to-Month,Yes,Bank Withdrawal,Yes,26.0,0
7,24.35,One Year,Yes,Credit Card,Yes,48.0,0
10,25.75,Two Year,No,Credit Card,,22.0,5
4,74.4,Month-to-Month,Yes,Mailed Check,No,8.0,0
72,116.85,Two Year,Yes,Bank Withdrawal,Yes,14.0,1
3,19.6,Month-to-Month,Yes,Credit Card,,20.0,0
32,-6.0,One Year,No,Credit Card,,22.0,0
27,85.2,Month-to-Month,Yes,Credit Card,No,15.0,1
55,85.5,Month-to-Month,No,Bank Withdrawal,Yes,52.0,1
49,101.55,One Year,No,Credit Card,Yes,14.0,0
58,108.85,One Year,Yes,Bank Withdrawal,Yes,19.0,1
72,105.25,Two Year,No,Bank Withdrawal,Yes,14.0,5
59,76.75,One Year,No,Credit Card,Yes,19.0,1
1,74.7,Month-to-Month,Yes,Bank Withdrawal,Yes,20.0,0
43,94.5,Month-to-Month,Yes,Bank Withdrawal,Yes,22.0,4
18,75.4,Month-to-Month,Yes,Bank Withdrawal,Yes,22.0,0
46,24.9,One Year,No,Bank Withdrawal,,22.0,1
1,20.2,Month-to-Month,No,Mailed Check,,21.0,0
3,75.85,Month-to-Month,Yes,Bank Withdrawal,Yes,29.0,1
56,25.15,Two Year,Yes,Credit Card,,20.0,1
16,94.65,Month-to-Month,Yes,Bank Withdrawal,Yes,2.0,3
6,20.0,Month-to-Month,No,Mailed Check,,22.0,0
40,67.45,Month-to-Month,No,Bank Withdrawal,Yes,58.0,0
52,66.25,Two Year,No,Credit Card,Yes,52.0,3
6,44.4,Month-to-Month,Yes,Bank Withdrawal,Yes,24.0,0
50,93.5,Month-to-Month,Yes,Credit Card,Yes,21.0,0
21,-3.0,One Year,Yes,Bank Withdrawal,Yes,30.0,5
72,108.05,Two Year,Yes,Credit Card,Yes,82.0,0
2,69.95,Month-to-Month,No,Credit Card,Yes,19.0,6
